,BoroCT,2011 Household Median Income
774,3050803,50882
775,3050804,45078
776,3050900,29356
777,3051001,35821
778,3051002,36716
779,3051100,22174
780,3051200,44772
781,3051300,63339
782,3051400,41374
783,3051500,81685
784,3051601,32480
785,3051602,38681
786,3051700,90096
787,3051800,58790
788,3051900,69817
789,3052000,50408
790,3052300,31692
791,3052500,16139
792,3052600,57159
793,3052700,35373
794,3052800,77969
795,3052900,32768
796,3053000,54063
797,3053100,30938
798,3053200,54250
799,3053300,19722
800,3053400,34682
801,3053500,21250
802,3053700,21563
803,3053800,36550
804,3053900,23368
805,3054200,42589
806,3054300,65547
807,3054400,65577
808,3054500,21992
809,3054600,32418
810,3054700,31970
811,3054800,52955
812,3054900,56438
813,3055000,33667
814,3055100,51367
815,3055200,47135
816,3055300,57969
817,3055400,41007
818,3055500,72330
819,3055600,50613
820,3055700,55833
821,3055800,48750
822,3056000,39722
823,3056100,61518
824,3056200,69875
825,3056300,56690
826,3056400,60341
827,3056500,62250
828,3056600,54560
829,3056800,78882
830,3056900,65559
831,3057000,56480
832,3057100,64196
833,3057200,14850
834,3057300,57130
835,3057400,72125
836,3057500,59943
837,3057600,53750
838,3057800,64663
839,3057900,43538
840,3058000,41591
841,3058200,31410
842,3058400,46923
843,3058600,41154
844,3058800,50750
845,3058900,86797
846,3059000,49707
847,3059100,58560
848,3059200,51796
849,3059300,41830
850,3059401,62557
851,3059402,66732
852,3059600,51698
853,3059800,60038
854,3060000,50507
855,3060600,33616
856,3060800,53333
857,3061002,52656
858,3061003,30735
859,3061004,25705
860,3061200,68958
861,3061600,79688
862,3062000,99125
863,3062200,48519
864,3062600,44007
865,3062800,62520
866,3063200,51386
867,3063600,90938
868,3063800,62750
869,3064000,91591
870,3064200,60588
871,3064400,81389
872,3064600,79375
873,3064800,55373
874,3065000,56000
875,3065200,114250
876,3065400,92679
877,3065600,76917
878,3065800,77630
879,3066000,77963
880,3066200,85530
881,3066600,-
882,3067000,48250
883,3067200,54934
884,3067400,55455
885,3067600,75093
886,3067800,76587
887,3068000,63371
888,3068200,80000
889,3068600,73813
890,3068800,68281
891,3069000,73546
892,3069200,62171
893,3069601,53848
894,3069602,92796
895,3069800,63750
896,3070000,105392
897,3070201,70858
898,3070202,39167
899,3070203,-
900,3070600,80455
901,3072000,66900
902,3072200,73906
903,3072400,79432
904,3072600,72935
905,3072800,52370
906,3073000,85781
907,3073200,61528
908,3073400,60221
909,3073600,45250
910,3073800,58598
911,3074000,55677
912,3074200,67438
913,3074400,63611
914,3074600,73056
915,3074800,55046
916,3075000,42213
917,3075200,104750
918,3075400,106548
919,3075600,61728
920,3075800,95766
921,3076000,59563
922,3076200,45795
923,3076400,56100
924,3076600,59247
925,3076800,49762
926,3077000,56364
927,3077200,48514
928,3077400,47533
929,3077600,47395
930,3078000,64960
931,3078200,48104
932,3078400,72344
933,3078600,37073
934,3078800,39182
935,3079000,38313
936,3079200,43221
937,3079400,51688
938,3079601,41605
939,3079602,32140
940,3079801,44427
941,3079802,46105
942,3080000,50337
943,3080200,40109
944,3080400,44444
945,3080600,52500
946,3080800,12500
947,3081000,32500
948,3081400,56691
949,3081600,46250
950,3081800,39727
951,3082000,46300
952,3082200,34382
953,3082400,33816
954,3082600,34019
955,3082800,43427
956,3083000,40096
957,3083200,76328
958,3083400,73594
959,3083600,60675
