Council District, Census Tracts 
42,3089600 3092800 3111000 3112400 3112600 3112800 3113000 3113400 3115600 3098200 3111800 3110400 3112200 3112000 3113200 3092000 3121400 3110600 3105801 3107800 3092200 3109800 3111600 3121000 3105804 3089000 3091600 3093000 3097000 3116000 3116400 3119400 3097400 3120000 3119600 3091800 3115800 3088800 3120800 3116200 3107000 3070203 3122000 
43,3005800 3006000 3017000 3018800 3019800 3020400 3006600 3020000 3020200 3003600 3006800 3015000 3006400 3013800 3006200 3014800 3018200 3015200 3016000 3013200 3013600 3016600 3016200 3013000 3013400 3018000 3018400 3018600 3020800 3026400 3017200 3015400 3017800 3017600 3017400 3005602 3016400 3014000 3014200 3020600 3003800 3005000 3005201 3005400 3016800 3004400 3012801 3019000 3019600 3003000 3028000 3005202 3007000 3012600 3031400 3021000 3026200 3027600 3028200 3005601 3004600 3003400 3029400 3030400 3028600 3029200 
44,3023600 3023800 3024000 3024200 3043400 3044000 3044400 3045200 3047000 3047200 3047600 3053400 3042200 3043800 3044800 3045000 3024400 3046800 3023400 3046400 3047400 3019200 3022000 3022200 3024600 3027000 3042600 3042800 3043000 3043200 3043600 3044200 3044600 3045400 3045600 3053200 3076800 3046201 3047800 3042400 3041200 3021600 3021800 3045800 3046202 3042000 3023200 3048000 3041800 
45,3052800 3073400 3074000 3074800 3075000 3075200 3078400 3083200 3083600 3083800 3084000 3084800 3085000 3083400 3085400 3076600 3094600 3078200 3077600 3078000 3077200 3085200 3072600 3078600 3074200 3077400 3073800 3074400 3083000 3078800 3084600 3093200 3074600 3073200 3073600 3046000 3053000 3064600 3064800 3065000 3075400 3076000 3076200 3076400 3086200 3093400 3082600 3077000 3094402 3085800 3086000 3093600 3093800 3085600 3082800 3079000 3096000 3094401 3073000 
46,3056800 3057000 3063200 3063600 3063800 3065400 3065600 3065800 3066000 3067000 3067800 3068200 3068600 3068800 3069000 3069200 3096400 3096600 3099200 3099400 3099600 3100400 3100600 3100800 3101000 3101400 3101600 3102000 3102400 3102600 3102200 3072000 3095600 3098800 3099000 3101200 3066200 3070000 3099800 3103400 3102800 3069602 3069800 3070202 3056600 3057200 3057400 3064000 3065200 3067200 3067400 3067600 3068000 3072800 3095400 3096800 3098400 3098600 3072200 3096200 3072400 3101800 3095000 3069601 3064400 3095800 3070201 3070600 3062800 3066600 
47,3025400 3025600 3028400 3028800 3030000 3034200 3038800 3039600 3039400 3037401 3039800 3030600 3032800 3040000 3039200 3030200 3038200 3040200 3034000 3032600 3038600 3030800 3037402 3040800 3035601 3033000 3033600 3025800 3026000 3026600 3027200 3027800 3029800 3040400 3041401 3041600 3041000 3034800 3029000 3029600 3026800 3027400 3041402 3039000 3040600 3035400 3035200 
48,3054200 3054400 3055000 3055200 3055800 3056000 3056200 3057800 3058000 3058600 3059200 3059401 3060000 3075800 3059000 3060600 3059800 3054600 3054800 3061003 3036200 3036001 3061004 3036002 3058800 3062000 3060800 3061200 3061600 3053800 3056400 3057600 3059402 3059600 3036600 3062600 3062200 3035000 3036400 3055400 3055600 3064200 3075600 3061002 3037000 3058200 3058400 3035602 
49,5000900 5001100 5010500 5002900 5013301 5012100 5023100 5003600 5004000 5007700 5001700 5002700 5031901 5012500 5006700 5007500 5024700 5014100 5004700 5005900 5030302 5003300 5003900 5023900 5021300 5000300 5013302 5009700 5000700 5022300 5016901 5000800 5002001 5002100 5000600 5008100 5014700 5031902 5032300 5020100 5030301 5020700 
50,5011402 5013201 5019700 5013400 5018901 5012200 5011401 5009601 5006400 5013800 5009602 5027301 5018100 5007000 5012804 5011202 5027704 5018701 5029104 5025100 5017300 5005000 5018902 5002002 5015100 5029103 5017700 5018702 5011201 5007400 5001800 5012806 5012805 5027302 5029102 5027900 4990100 
51,5017009 5014607 5014608 5017010 5017005 5014605 5014604 5015601 5020804 5020801 5020803 5017012 5017007 5013203 5017008 5015602 5017011 5017600 5024401 5022600 5015603 5019800 5027705 5027706 5014606 5024800 5027702 5015400 5013204 5024402 5022800 
